"PLZ";"Sammelstelle";"Oel";"Glas";"Metall"
8001;"Bahnhofquai vis-à-vis 5";;"X";"X"
8001;"Gessnerallee vis-à-vis 36";;"X";"X"
8001;"Hirschengraben 22";;"X";"X"
8002;"Am Schanzengraben 25 / Gartenstrasse";;"X";"X"
8002;"Brunaustrasse 6 / Seestrasse";"X";"X";"X"
8002;"Grütlistrasse 4";;"X";"X"
8002;"Klopstockstrasse vis-à-vis 23";"X";"X";"X"
8003;"Aegertenstrasse vis-à-vis 16";;"X";"X"
8003;"Bertastrasse 60";;"X";"X"
8003;"Fritschistrasse vis-à-vis 11";;"X";"X"
8003;"Idaplatz 3";;"X";"X"
8003;"Meinrad-Lienert-Strasse vis-à-vis 1 / Seebahnstrasse";;"X";"X"
8003;"Schlossgasse vis-à-vis 22 / Steinstrasse";;"X";"X"
8003;"Seebahnstrasse 89 / Zweierstrasse 99";;"X";"X"
8003;"Zentralstrasse vis-à-vis 76";"X";"X";"X"
8004;"Albisriederplatz 6 / Einfahrt Hardstrasse ";;"X";"X"
8004;"Bullingerstrasse 69";;"X";"X"
8004;"Erismannstrasse 31";"X";"X";"X"
8004;"Hohlstrasse vis-à-vis 90";;"X";"X"
8004;"Kanzleistrasse 137  / Hermann-Greulich-Strasse";;"X";"X"
8004;"Kochstrasse 21";;"X";"X"
8004;"Lagerstrasse 47";;"X";"X"
8004;"Lochergut / Seebahnstrasse 171";;"X";"X"
8004;"Müllerstrasse 71";;"X";"X"
8004;"St. Jakobstrasse vis-à-vis 29 / Lutherstrasse ";"X";"X";"X"
8004;"Tellstrasse / Militärstrasse 90";"X";"X";"X"
8004;"Weberstrasse 3";;"X";"X"
8004;"Zimmerlistrasse vis-à-vis 4";;"X";"X"
8005;"Hardturmweg / Hardturmstrasse 126";;"X";"X"
8005;"Heinrichstrasse 180, unter Viadukt";"X";"X";"X"
8005;"Josefstrasse 92";;"X";"X"
8005;"Konradstrasse 79";;"X";"X"
8005;"Röntgenstrasse 39";;"X";"X"
8006;"Langmauerstrasse 90";;"X";"X"
8006;"Letzistrasse vis-à-vis 50";;"X";"X"
8006;"Rigi-Platz / Ottikerstrasse vis-à-vis 61";;"X";"X"
8006;"Röslistrasse / Weinbergstrasse Höhe 131";"X";"X";"X"
8006;"Scheuchzerstrasse vis-à-vis 98";;"X";"X"
8006;"Sonneggstrasse 26";;"X";"X"
8006;"Sonneggstrasse vis-à-vis 84 / Weinbergstrasse ";;"X";"X"
8006;"Vogelsangstrasse vis-à-vis 33 / Gladbachstrasse ";;"X";"X"
8008;"Bleulerstrasse 70";;"X";"X"
8008;"Hammerstrasse 43";;"X";"X"
8008;"Lenggstrasse 74";;"X";"X"
8008;"Mittelstrasse 6 / Klausstrasse";;"X";"X"
8008;"Mühlebachstrasse 200";;"X";"X"
8008;"Mühlebachstrasse 35";;"X";"X"
8008;"Riesbachstrasse 61 / Höschgasse";;"X";"X"
8008;"Seefeldstrasse 152";"X";"X";"X"
8008;"Seefeldstrasse 233";;"X";"X"
8032;" Forchstrasse 265";"X";"X";"X"
8032;"Bergstrassse vis-à-vis 142 / Jupitersteig 6";"X";"X";"X"
